Paper_ID,Authors,Year,Title,QA1,QA2,QA3,QA4,QA5,Total_Score
147,Neulinger & Sparer,2025,Fostering AI alignment through blockchain proof of personhood and zero knowledge proofs,1,1,0.5,0.5,0,3
148,Srinivas. D et al.,2025,Future of Finance: Secure 6G-Enabled Blockchain Networks with AI for Data Integrity,1,0.5,0.5,0,0.5,2.5
149,Prajapat et al.,2025,Generative AI-Enabled Quantum Encryption Algorithm for Securing IoT-Based Healthcare Application Using Blockchain,1,1,1,1,1,5
150,Durgut et al.,2025,Hybrid Quantum–Classical Deep Neural Networks Based Smart Contract Vulnerability Detection,1,1,1,1,1,5
151,Khan et al.,2024,Hybrid computing framework security in dynamic offloading for IoT-enabled smart home system,1,1,1,1,1,5
152,Ray et al.,2023,Improving phishing detection in Ethereum transaction network using Quantum Machine Learning,1,1,1,1,1,5
153,Rajesh et al.,2025,Integrating holographic counterparts for intelligent IoT consumer devices,0.5,1,0.5,0.5,0.5,3
154,Irshad et al.,2023,IoT-Enabled Secure and Scalable Cloud Architecture for Multi-User Systems: A Hybrid Post-Quantum Cryptographic and Blockchain-Based Approach Toward a Trustworthy Cloud Computing,1,1,1,1,1,5
155,Nalluri et al.,2025,NSCTI: A Hybrid Neuro-Symbolic Framework for AI-Driven Predictive Cyber Threat Intelligence,0.5,1,1,1,1,4.5
156,Sezer & Turkmen,2025,PPFLQB: A Privacy-Preserving Federated Learning enhanced Quantum-secure Blockchain layered framework,1,1,1,1,1,5
157,Gharavi et al.,2025,PQBFL: A Post-Quantum Blockchain-based protocol for Federated Learning,1,1,1,1,1,5
158,Gurung et al.,2024,Performance analysis and evaluation of postquantum secure blockchained federated learning,1,1,1,1,1,5
159,Mahato et al.,2024,Privacy preserving verifiable federated learning scheme using blockchain and homomorphic encryption,1,1,1,1,1,5
160,Abosinnee et al.,2023,Probabilistic Neural Network Based Visual Data Mining for Healthcare Sector,1,1,1,1,1,5
161,Balusamy et al.,2025,Protecting Financial Transactions and Cryptocurrency Networks from Fraud Using AI-Powered Blockchain Technology,1,0.5,0.5,0.5,0.5,3
162,Majumder et al.,2026,QuanFraud: Quantum State Verification Scheme for Fraud Detection in IoT-Assisted Quantum-Blockchain Networks,1,1,1,1,1,5
163,Das et al.,2025,Quantum-resilient blockchain framework for privacy-preserving genomic data sharing and analysis,1,1,1,1,1,5
164,Tsai & Chen,2025,Quantum Feature Optimization for Enhanced Clustering of Blockchain Transaction Data,0.5,1,1,0.5,0.5,3.5
165,Gill,2021,Quantum and blockchain based Serverless edge computing: A vision model new trends and future directions,1,0.5,0.5,0,0.5,2.5
166,Huh & Kim,2020,Verification Plan Using Neural Algorithm Blockchain Smart Contract for secure P2P Estate Xsactions,1,0.5,0.5,0,0,2
,,,,1,0.5,1,0.5,1,4
,,,,0.5,1,0.5,0.5,1,3.5
,,,,1,1,0.5,0.5,0,3
,,,,0.5,0.5,1,1,1,4
,,,,1,0.5,0,0.5,0.5,2.5
,,,,0,1,0.5,1,1,3.5
,,,,1,1,1,0.5,0,3.5
,,,,0.5,0.5,0.5,1,0.5,3
,,,,1,0,0.5,0.5,0,2
,,,,0.5,1,1,0.5,0.5,3.5
,,,,1,1,0,1,1,4
,,,,0.5,0,0.5,0.5,0.5,2
,,,,1,0.5,1,1,0.5,4
,,,,0,0.5,1,0.5,1,3
,,,,1,1,0.5,1,0.5,4
,,,,0.5,0.5,0,1,0.5,2.5
,,,,1,0.5,0.5,1,0,3
,,,,0.5,1,1,1,0,3.5
,,,,1,0,1,0.5,1,3.5
,,,,0.5,0.5,1,0.5,0,2.5
,,,,1,1,1,0.5,0.5,4
,,,,0,1,0.5,0.5,1,3
,,,,1,0.5,0.5,0.5,1,3.5
,,,,0.5,1,0,1,0.5,3
,,,,1,1,0.5,0,0.5,3
,,,,0.5,0,1,1,0.5,3
,,,,1,0.5,1,0,0.5,3
,,,,0.5,1,0.5,1,0,3
,,,,1,0,0.5,1,0.5,3
,,,,0,0.5,0.5,1,1,3
,,,,1,1,0,0.5,0.5,3
,,,,0.5,0.5,1,0,0.5,2.5
,,,,1,0.5,0,1,1,3.5
,,,,0,1,1,0.5,0.5,3
,,,,0.5,1,0,0.5,0.5,2.5
,,,,1,0.5,0.5,0,0.5,2.5
,,,,0.5,0,0.5,1,1,3
,,,,1,1,0.5,0.5,0.5,3.5
